year,revenue,operating_profit,net_income,assets,liabilities,equity,cash,cfo,revenue_growth,operating_margin,net_margin,debt_ratio,equity_ratio,cfo_net_income,net_debt
2021,42997792000000.0,12410340000000.0,9616188000000.0,96386474000000.0,34195416000000.0,62191058000000.0,5057982000000.0,,,28.862737881982405,22.364376291694235,54.98445773345744,64.52259888664462,,29137434000000.0
2022,44621568000000.0,6809417000000.0,2241669000000.0,103871512000000.0,40580970000000.0,63290542000000.0,4977007000000.0,,3.7764171704444793,15.26037139707865,5.023734262319065,64.11853764816865,60.931568994586314,,35603963000000.0
2023,32765719000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,46826413000000.0,53503752000000.0,7587329000000.0,4278191000000.0,-26.56977226797588,-23.592685391704666,-27.887521711334944,87.5198677655354,53.32768265655697,-0.46819906918125836,39239084000000.0
2024,66192960000000.0,23467319000000.0,19796902000000.0,119855209000000.0,45939505000000.0,73915704000000.0,11205117000000.0,,102.0189454716376,35.452892573470045,29.907866335030192,62.15121079006431,61.67083151137803,,34734388000000.0
2025,97146675000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,14923766000000.0,,46.762850611303676,48.59283037736495,44.20933809623438,45.94547175634156,68.51874114117888,,40517142000000.0
